Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SLIT3	10743.329004377963	-7.0533753244638975	0.33263365181999655	-21.204635447650993	8.653848329345935e-100	1.8715028743251751e-97
CHN2	31888.43377602996	-7.040681251586443	0.33743739060515954	-20.86514846194045	1.1104920885784245e-96	2.208347543045439e-94
ANKS4B	306.92633491910806	-7.039282987286739	0.5622859776120238	-12.519044165358556	5.8738232346394145e-36	2.58582737360042e-34
PDE1A	26999.773619775762	-7.011507424873846	0.3668314047779255	-19.11370546128272	1.9417867764969049e-81	2.871354958989141e-79
SLC44A3	239.13179299500644	-6.979117210482329	0.614753240561168	-11.352713170103097	7.189651101725888e-30	2.5700031758462723e-28
TMEM159	176.11235643793552	-6.9608660610695505	0.6921177547496374	-10.057343585395426	8.526804910411819e-24	2.3565854912944867e-22
MAML3	9489.187563217998	-6.899730077225757	0.39848700884092364	-17.314818109867506	3.636697387862147e-67	3.6794445325966673e-65
C1QL3	54.88724309599368	-6.865130267203157	1.167757626361343	-5.878899963680356	4.130018563296591e-9	4.667109808203418e-8
SV2B	7818.270215523865	-6.864072204439383	0.271846222582709	-25.249834775066606	1.1373051716081392e-140	5.178030729998004e-138
CA4	192.3657293774508	-6.860960781962517	0.6459802804250575	-10.621006538230516	2.3798106212211153e-26	7.458895572055527e-25
LOC101927577	626.8314662660243	-6.856357632988125	1.3692254424394157	-5.007471684701403	5.514966145437129e-7	4.880533467120602e-6
CRYM	771.3325269506436	-6.856134017452513	0.4017072685987897	-17.067488077493977	2.5911084582294612e-65	2.436346056294995e-63
LOC105375734	3079.162564446008	-6.854642565036187	0.27137691689081556	-25.258753189365954	9.076297727933328e-141	4.2440277565128244e-138
COL13A1	1026.793575886918	-6.8420372517015515	1.1919842708075483	-5.740039880783152	9.465425781614577e-9	1.0267168115844125e-7
SLC6A7	329.5227029120322	-6.832946736129288	0.541938680497517	-12.608339249481924	1.8995361784010217e-36	8.470070985184556e-35
LINC01179	372.2022142674372	-6.829195515145396	0.5236869111752107	-13.04060760239345	7.188190541733607e-39	3.464147202298973e-37
SFRP1	324.30968570309005	-6.8177205550379965	0.5385967862095243	-12.658301589615824	1.0065340046310093e-36	4.5706154367771895e-35
TRPM2	708.1812210939573	-6.81501177338284	1.000207310055969	-6.813599245741855	9.518663693467122e-12	1.3712106624535777e-10
ABLIM1	13962.344751515922	-6.778432209474804	0.28743637304906766	-23.582374553263904	5.845607794902805e-123	1.8059796510645255e-120
TSPAN12	51.31082292380182	-6.744154326600067	1.153099252467977	-5.848719710957718	4.95371003074357e-9	5.5436052549737715e-8
GRIN2A	10124.12106023595	-6.73971198041073	0.3029346992159378	-22.24806863609418	1.1775539574643443e-109	2.952588553346467e-107
EEF1DP3	3634.9599452905863	-6.734962737360929	0.3454630390658029	-19.495465435531212	1.1995833661541078e-84	1.8867265288938382e-82
MEIS2	1688.9897891842327	-6.733966715811961	0.38596107870675467	-17.447268875855464	3.610902392276342e-68	3.763386884865843e-66
DKFZp686K1684	916.413158402364	-6.720335962672301	1.1785264079522368	-5.702321065803951	1.181869484494855e-8	1.2669788176524954e-7
KCNK10	1362.6871299884083	-6.71800178342274	0.3977059497376557	-16.89188152164741	5.1629924787607406e-64	4.676698056284794e-62
ERICH3	288.94296851885326	-6.67788954678338	0.5165464165872296	-12.927956389482919	3.1302895892232333e-38	1.4597611909205165e-36
VWC2	4746.643142323556	-6.675156256658542	0.2552836526970743	-26.147997281202496	1.0385876940236643e-150	5.284884027736299e-148
PRR16	4421.479566104281	-6.658354840288862	0.3468546368112956	-19.19638411497236	3.967702719166478e-82	5.917691788301658e-80
ZDHHC22	774.6623611032784	-6.629930096990585	0.4582268716448006	-14.46866281148576	1.9115224040510472e-47	1.1727393302300415e-45
TMEM163	6812.97044741154	-6.597944291735087	0.37813615632137804	-17.448594061784167	3.5281035833657556e-68	3.699376975503693e-66
SYNPR	7406.533935893228	-6.577904307731504	0.250483928742943	-26.2607838384794	5.382954156118293e-152	2.9103278079688306e-149
ARSJ	2194.1633749352022	-6.560617665038762	0.3536957585180929	-18.548759794367626	8.34553985584366e-77	1.0539137594594976e-74
FAM60A	170.39026115351305	-6.511381310305764	0.6448348983570946	-10.097749558678371	5.6524408779294114e-24	1.5798526595970396e-22
VIPR1	488.0756601556708	-6.502692385495153	0.4328772111622483	-15.02202522520377	5.267345925567473e-51	3.6019901920254096e-49
CBFA2T3	310.99808923702585	-6.450222803552262	0.4901901459567574	-13.158613768056599	1.518462451658976e-39	7.505976821757698e-38
FAM160A1	3934.7824284496583	-6.4348030545834956	0.2701141451095767	-23.822532699918774	1.9511655052411892e-125	6.751422881235562e-123
COL27A1	2322.298275694192	-6.399110081144303	0.3250862393410496	-19.684346203380713	2.9370210763029587e-86	4.79371713595448e-84
